evidence_id,date,account_id,author,subject,body
N01,2026-09-04,A001,"Sam Ortiz, Quality",Claim containment,CL01 is open. On two evening Production lots the cell used traveler C with released drawing D. The fixture check was signed before the revised traveler reached the cell. No root-cause verification trial has been completed. A recovery plan is due September 9.
N02,2026-08-27,,"Marta Ellis, Evening supervisor",Coaching coverage,Four new welders asked who could release their first piece while I was covering receiving. They had completed orientation. I could find attendance records but no observed-job signoff for several people. Experienced operators also had to remake F2 frames.
N03,2026-08-28,,"Graham West, Day supervisor",Different startup practice,On days we pull the controlled drawing and traveler together and call Quality before the first piece of a changed job. My buddy check takes about ten minutes. We have not written that routine into the old new-hire slide deck.
N04,2026-08-29,,"Jules Mercer, Production planner",Document distribution,Drawing D became effective July 13. The evening F2 paper binder still contained C when checked August 28. Reprints had been sent to the day lead. Distribution to both shifts was not recorded.
N05,2026-09-03,A003,"Sam Ortiz, Quality",Capability review,We do not have approved sanitary product-contact capability. PPE-211 cannot be represented as within our current offering. Any new qualification or partner path needs its own scope and review.
N06,2026-09-04,A004,"Jules Mercer, Production planner",Pilot planning,CL-86-P needs 72 Custom hours after drawing release and material confirmation. It can be considered in the September 14 Custom pool; no slot is committed yet. CL-86-R uses Production and must wait for customer first-article acceptance.
N07,2026-08-22,A010,"Sam Ortiz, Quality",Packet corrected,Customer accepted the corrected inspection packet. CL02 is closed. Their procurement team is still asking for a clearer first-article handoff on future work.
N08,2026-09-04,,"Nina Patel, Sales",Time lost before calls,"I spend roughly 30 minutes finding the latest context for each important call. CRM stage, quality issues and email deadlines disagree. I need a three-call list with reasons, a responsible owner and a next action I can use."
N09,2026-09-03,,"Mara Jensen, GM",Training request,Quality got worse after the July hiring class. My first instinct is to retrain all 15. Show me what the evidence supports and what else Operations must fix. I can release each welder for twenty minutes plus one ten-minute observed check over two weeks.
N10,2026-09-04,,"Mara Jensen, GM",Commercial priorities,Protect current customer commitments. Prefer feasible work with an approved scope and acceptable margin. Call urgency can come from a recovery or payment decision as well as a new sale. Do not let the largest CRM amount choose our day.
