lot_id,week_start,account_id,service_id,employee_id,shift,cohort,fixture,drawing_revision,traveler_revision,first_inspected_units,first_rejected_units,dimensional_units,missing_weld_units,porosity_units,incomplete_record_units,rework_hours,inspection_method,source
Q001,2026-06-15,A003,S02,E001,Day,Established,F1,C,C,50,1,0,0,1,0,0.7,100% first inspection,QMS weekly lot sample
Q002,2026-06-15,A001,S03,E001,Day,Established,F2,C,C,50,2,1,0,1,0,2.1,100% first inspection,QMS weekly lot sample
Q003,2026-06-15,A006,S02,E003,Evening,Established,F1,C,C,50,1,0,0,1,0,0.7,100% first inspection,QMS weekly lot sample
Q004,2026-06-15,A005,S03,E003,Evening,Established,F2,C,C,50,2,1,0,1,0,2.1,100% first inspection,QMS weekly lot sample
Q005,2026-06-22,A013,S02,E002,Day,Established,F1,C,C,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q006,2026-06-22,A007,S03,E002,Day,Established,F2,C,C,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q007,2026-06-22,A017,S02,E006,Evening,Established,F1,C,C,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q008,2026-06-22,A009,S03,E006,Evening,Established,F2,C,C,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q009,2026-06-29,A020,S02,E004,Day,Established,F1,C,C,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q010,2026-06-29,A010,S03,E004,Day,Established,F2,C,C,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q011,2026-06-29,A022,S02,E009,Evening,Established,F1,C,C,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q012,2026-06-29,A012,S03,E009,Evening,Established,F2,C,C,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q013,2026-07-06,A003,S02,E005,Day,Established,F1,C,C,50,1,0,0,1,0,0.7,100% first inspection,QMS weekly lot sample
Q014,2026-07-06,A015,S03,E005,Day,Established,F2,C,C,50,2,1,0,1,0,2.1,100% first inspection,QMS weekly lot sample
Q015,2026-07-06,A006,S02,E012,Evening,Established,F1,C,C,50,1,0,0,1,0,0.7,100% first inspection,QMS weekly lot sample
Q016,2026-07-06,A018,S03,E012,Evening,Established,F2,C,C,50,2,1,0,1,0,2.1,100% first inspection,QMS weekly lot sample
Q017,2026-07-13,A013,S02,E007,Day,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q018,2026-07-13,A021,S03,E007,Day,Established,F2,D,D,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q019,2026-07-13,A017,S02,E043,Day,July hires,F1,D,D,50,4,0,2,1,1,3.1,100% first inspection,QMS weekly lot sample
Q020,2026-07-13,A024,S03,E043,Day,July hires,F2,D,D,50,5,1,2,1,1,4.5,100% first inspection,QMS weekly lot sample
Q021,2026-07-13,A020,S02,E015,Evening,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q022,2026-07-13,A001,S03,E015,Evening,Established,F2,D,C,50,4,4,0,0,0,5.6,100% first inspection,QMS weekly lot sample
Q023,2026-07-13,A022,S02,E038,Evening,July hires,F1,D,D,50,5,0,2,2,1,3.8,100% first inspection,QMS weekly lot sample
Q024,2026-07-13,A005,S03,E038,Evening,July hires,F2,D,C,50,9,4,2,2,1,9.4,100% first inspection,QMS weekly lot sample
Q025,2026-07-20,A003,S02,E008,Day,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q026,2026-07-20,A007,S03,E008,Day,Established,F2,D,D,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q027,2026-07-20,A006,S02,E031,Day,July hires,F1,D,D,50,4,0,2,1,1,3.1,100% first inspection,QMS weekly lot sample
Q028,2026-07-20,A009,S03,E031,Day,July hires,F2,D,D,50,5,1,2,1,1,4.5,100% first inspection,QMS weekly lot sample
Q029,2026-07-20,A013,S02,E018,Evening,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q030,2026-07-20,A010,S03,E018,Evening,Established,F2,D,C,50,4,4,0,0,0,5.6,100% first inspection,QMS weekly lot sample
Q031,2026-07-20,A017,S02,E039,Evening,July hires,F1,D,D,50,5,0,2,2,1,3.8,100% first inspection,QMS weekly lot sample
Q032,2026-07-20,A012,S03,E039,Evening,July hires,F2,D,C,50,9,4,2,2,1,9.4,100% first inspection,QMS weekly lot sample
Q033,2026-07-27,A020,S02,E010,Day,Established,F1,D,D,50,1,0,0,1,0,0.7,100% first inspection,QMS weekly lot sample
Q034,2026-07-27,A015,S03,E010,Day,Established,F2,D,D,50,2,1,0,1,0,2.1,100% first inspection,QMS weekly lot sample
Q035,2026-07-27,A022,S02,E035,Day,July hires,F1,D,D,50,4,0,2,1,1,3.1,100% first inspection,QMS weekly lot sample
Q036,2026-07-27,A018,S03,E035,Day,July hires,F2,D,D,50,5,1,2,1,1,4.5,100% first inspection,QMS weekly lot sample
Q037,2026-07-27,A003,S02,E021,Evening,Established,F1,D,D,50,1,0,0,1,0,0.7,100% first inspection,QMS weekly lot sample
Q038,2026-07-27,A021,S03,E021,Evening,Established,F2,D,C,50,5,4,0,1,0,6.3,100% first inspection,QMS weekly lot sample
Q039,2026-07-27,A006,S02,E040,Evening,July hires,F1,D,D,50,5,0,2,2,1,3.8,100% first inspection,QMS weekly lot sample
Q040,2026-07-27,A024,S03,E040,Evening,July hires,F2,D,C,50,9,4,2,2,1,9.4,100% first inspection,QMS weekly lot sample
Q041,2026-08-03,A013,S02,E011,Day,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q042,2026-08-03,A001,S03,E011,Day,Established,F2,D,D,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q043,2026-08-03,A017,S02,E037,Day,July hires,F1,D,D,50,4,0,2,1,1,3.1,100% first inspection,QMS weekly lot sample
Q044,2026-08-03,A005,S03,E037,Day,July hires,F2,D,D,50,5,1,2,1,1,4.5,100% first inspection,QMS weekly lot sample
Q045,2026-08-03,A020,S02,E024,Evening,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q046,2026-08-03,A007,S03,E024,Evening,Established,F2,D,C,50,4,4,0,0,0,5.6,100% first inspection,QMS weekly lot sample
Q047,2026-08-03,A022,S02,E042,Evening,July hires,F1,D,D,50,5,0,2,2,1,3.8,100% first inspection,QMS weekly lot sample
Q048,2026-08-03,A009,S03,E042,Evening,July hires,F2,D,C,50,9,4,2,2,1,9.4,100% first inspection,QMS weekly lot sample
Q049,2026-08-10,A003,S02,E013,Day,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q050,2026-08-10,A010,S03,E013,Day,Established,F2,D,D,50,1,1,0,0,0,1.4,100% first inspection,QMS weekly lot sample
Q051,2026-08-10,A006,S02,E041,Day,July hires,F1,D,D,50,4,0,2,1,1,3.1,100% first inspection,QMS weekly lot sample
Q052,2026-08-10,A012,S03,E041,Day,July hires,F2,D,D,50,5,1,2,1,1,4.5,100% first inspection,QMS weekly lot sample
Q053,2026-08-10,A013,S02,E027,Evening,Established,F1,D,D,50,0,0,0,0,0,0.0,100% first inspection,QMS weekly lot sample
Q054,2026-08-10,A015,S03,E027,Evening,Established,F2,D,C,50,4,4,0,0,0,5.6,100% first inspection,QMS weekly lot sample
