opportunity_id,account_id,service_id,customer_rfq,title,amount_usd,estimated_gross_margin_pct,stage,crm_probability,expected_close_date,requested_ship_date,estimated_pool_hours,updated_date
O001,A001,S03,NCS-26-104,Pilot conveyor frames,96000,0.34,Proposal,0.7,2026-09-10,2026-09-25,210,2026-08-28
O002,A002,S01,RGS-77,Warehouse structural package,520000,0.23,Negotiation,0.8,2026-09-12,2026-10-12,900,2026-08-21
O003,A003,S02,PPE-211,Sanitary process skid,285000,0.32,Qualified,0.6,2026-09-15,2026-10-30,340,2026-08-27
O004,A004,S02,CL-86-P,Packaging line pilot frame,68000,0.35,Proposal,0.65,2026-09-11,2026-10-09,72,2026-08-25
O005,A005,S03,HGH-220,Repeat grain auger frames,158000,0.29,Negotiation,0.75,2026-09-09,2026-09-30,300,2026-08-28
O006,A006,S02,NDS-09,Warehouse guarding survey,24000,0.31,Discovery,0.25,2026-09-18,2026-10-30,48,2026-08-29
O007,A001,S03,NCS-26-104,Northstar pilot - imported,96000,0.34,Qualified,0.5,2026-09-10,2026-09-25,210,2026-08-30
O008,A004,S03,CL-86-R,Annual frame releases,320000,0.33,Discovery,0.3,2026-10-30,2026-12-01,640,2026-08-25
O009,A007,S03,RFQ-109,Repeat production weldments release 9,173700,0.25,Qualified,0.4,2026-11-19,2026-12-10,339,2026-08-19
O010,A008,S01,RFQ-110,Structural assemblies release 10,191000,0.27,Proposal,0.65,2026-10-20,2026-12-11,370,2026-08-20
O011,A009,S03,RFQ-111,Repeat production weldments release 11,18300,0.29,Closed lost,0,2026-11-21,2026-12-12,401,2026-08-21
O012,A010,S03,RFQ-112,Repeat production weldments release 12,35600,0.31,Discovery,0.2,2026-10-22,2026-12-13,72,2026-08-22
O013,A011,S01,RFQ-113,Structural assemblies release 13,52900,0.33,Qualified,0.4,2026-11-23,2026-12-14,103,2026-08-23
O014,A012,S03,RFQ-114,Repeat production weldments release 14,70200,0.35,Proposal,0.65,2026-10-24,2026-12-15,134,2026-08-24
O015,A013,S03,RFQ-115,Repeat production weldments release 15,87500,0.37,Closed lost,0,2026-11-10,2026-12-16,165,2026-08-25
O016,A014,S01,RFQ-116,Structural assemblies release 16,104800,0.23,Discovery,0.2,2026-10-11,2026-12-17,196,2026-08-26
O017,A015,S03,RFQ-117,Repeat production weldments release 17,122100,0.25,Qualified,0.4,2026-11-12,2026-12-18,227,2026-08-27
O018,A016,S01,RFQ-118,Structural assemblies release 18,139400,0.27,Proposal,0.65,2026-10-13,2026-12-19,258,2026-08-28
O019,A017,S02,RFQ-119,Custom fabrication release 19,156700,0.29,Closed lost,0,2026-11-14,2026-12-20,289,2026-08-29
O020,A018,S03,RFQ-120,Repeat production weldments release 20,174000,0.31,Discovery,0.2,2026-10-15,2026-12-01,320,2026-08-10
O021,A019,S01,RFQ-121,Structural assemblies release 21,191300,0.33,Qualified,0.4,2026-11-16,2026-12-02,351,2026-08-11
O022,A020,S03,RFQ-122,Repeat production weldments release 22,18600,0.35,Proposal,0.65,2026-10-17,2026-12-03,382,2026-08-12
O023,A021,S03,RFQ-123,Repeat production weldments release 23,35900,0.37,Closed lost,0,2026-11-18,2026-12-04,413,2026-08-13
O024,A022,S02,RFQ-124,Custom fabrication release 24,53200,0.23,Discovery,0.2,2026-10-19,2026-12-05,84,2026-08-14
O025,A023,S01,RFQ-125,Structural assemblies release 25,70500,0.25,Qualified,0.4,2026-11-20,2026-12-06,115,2026-08-15
O026,A024,S03,RFQ-126,Repeat production weldments release 26,87800,0.27,Proposal,0.65,2026-10-21,2026-12-07,146,2026-08-16
O027,A007,S03,RFQ-127,Repeat production weldments release 27,105100,0.29,Closed lost,0,2026-11-22,2026-12-08,177,2026-08-17
O028,A008,S01,RFQ-128,Structural assemblies release 28,122400,0.31,Discovery,0.2,2026-10-23,2026-12-09,208,2026-08-18
O029,A009,S03,RFQ-129,Repeat production weldments release 29,139700,0.33,Qualified,0.4,2026-11-24,2026-12-10,239,2026-08-19
O030,A010,S03,RFQ-130,Repeat production weldments release 30,157000,0.35,Proposal,0.65,2026-10-10,2026-12-11,270,2026-08-20
O031,A011,S01,RFQ-131,Structural assemblies release 31,174300,0.37,Closed lost,0,2026-11-11,2026-12-12,301,2026-08-21
O032,A012,S03,RFQ-132,Repeat production weldments release 32,191600,0.23,Discovery,0.2,2026-10-12,2026-12-13,332,2026-08-22
O033,A013,S03,RFQ-133,Repeat production weldments release 33,18900,0.25,Qualified,0.4,2026-11-13,2026-12-14,363,2026-08-23
O034,A014,S01,RFQ-134,Structural assemblies release 34,36200,0.27,Proposal,0.65,2026-10-14,2026-12-15,394,2026-08-24
O035,A015,S03,RFQ-135,Repeat production weldments release 35,53500,0.29,Closed lost,0,2026-11-15,2026-12-16,65,2026-08-25
O036,A016,S01,RFQ-136,Structural assemblies release 36,70800,0.31,Discovery,0.2,2026-10-16,2026-12-17,96,2026-08-26
