account_id,account_name,segment,city,state,crm_owner,relationship,crm_updated_date,domain
A001,Northstar Conveyor Systems,Packaging OEM,Madison,WI,Nina Patel,Active customer,2026-08-28,northstarconveyorsystems.example
A002,Ridgeway Structures,Structural contractor,Milwaukee,WI,Nina Patel,Active customer,2026-08-28,ridgewaystructures.example
A003,Prairie Process Equipment,Process equipment,Cedar Rapids,IA,Luis Romero,Active customer,2026-08-28,prairieprocessequipment.example
A004,Cedarline Packaging Equipment,Packaging OEM,Rockford,IL,Nina Patel,Active customer,2026-08-28,cedarlinepackagingequipment.example
A005,Harbor Grain Handling,Agricultural equipment,Fond du Lac,WI,Nina Patel,Active customer,2026-08-28,harborgrainhandling.example
A006,Northstar Distribution Services,Warehouse operator,Janesville,WI,Nina Patel,Active customer,2026-08-28,northstardistributionservices.example
A007,Summit Material Systems,Material handling OEM,Rochester,MN,Luis Romero,Active customer,2026-08-28,summitmaterialsystems.example
A008,Ironwood Builders,Structural contractor,Elgin,IL,Evan Brooks,Active customer,2026-08-28,ironwoodbuilders.example
A009,Benton Equipment Works,Agricultural equipment,Dubuque,IA,Luis Romero,Active customer,2026-08-28,bentonequipmentworks.example
A010,Clearwater Carton Machinery,Packaging OEM,Green Bay,WI,Nina Patel,Active customer,2026-08-28,clearwatercartonmachinery.example
A011,Prairie Bend Construction,Structural contractor,Waterloo,IA,Luis Romero,Active customer,2026-08-28,prairiebendconstruction.example
A012,Oakline Industrial,Material handling OEM,Aurora,IL,Evan Brooks,Active customer,2026-08-28,oaklineindustrial.example
A013,Riverton Mechanical,Process equipment,Oshkosh,WI,Nina Patel,Active customer,2026-08-28,rivertonmechanical.example
A014,Westfield Building Systems,Structural contractor,Winona,MN,Luis Romero,Active customer,2026-08-28,westfieldbuildingsystems.example
A015,Marsh Creek Ag Systems,Agricultural equipment,DeKalb,IL,Evan Brooks,Active customer,2026-08-28,marshcreekagsystems.example
A016,Stonebridge Contracting,Structural contractor,Waukesha,WI,Nina Patel,Active customer,2026-08-28,stonebridgecontracting.example
A017,Bayfield Warehouse Group,Warehouse operator,Appleton,WI,Nina Patel,Active customer,2026-08-28,bayfieldwarehousegroup.example
A018,Fox Run Automation,Material handling OEM,Appleton,WI,Nina Patel,Active customer,2026-08-28,foxrunautomation.example
A019,Crestline Construction,Structural contractor,Freeport,IL,Evan Brooks,Active customer,2026-08-28,crestlineconstruction.example
A020,Elm Ridge Process Systems,Process equipment,Austin,MN,Luis Romero,Active customer,2026-08-28,elmridgeprocesssystems.example
A021,Pine Hollow Equipment,Agricultural equipment,Decorah,IA,Luis Romero,Active customer,2026-08-28,pinehollowequipment.example
A022,Red Cedar Logistics,Warehouse operator,Belvidere,IL,Evan Brooks,Active customer,2026-08-28,redcedarlogistics.example
A023,Twin Oaks Steel Erectors,Structural contractor,Beloit,WI,Nina Patel,Active customer,2026-08-28,twinoakssteelerectors.example
A024,Bluewater Assembly Systems,Material handling OEM,Owatonna,MN,Luis Romero,Active customer,2026-08-28,bluewaterassemblysystems.example
