order_id,account_id,service_id,invoice_date,invoice_revenue_usd,job_cost_usd,promised_ship_date,actual_ship_date,rework_cost_usd,source
J0001,A001,S03,2026-01-28,11000,7810,2026-01-20,2026-01-18,350,ERP closed-job ledger
J0002,A002,S01,2026-01-28,71000,52540,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0003,A003,S02,2026-01-28,41000,29110,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0004,A004,S03,2026-01-28,13000,8840,2026-01-20,2026-01-22,350,ERP closed-job ledger
J0005,A005,S03,2026-01-28,67000,44220,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0006,A006,S02,2026-01-28,43000,29240,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0007,A007,S03,2026-01-28,27000,19170,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0008,A008,S01,2026-01-28,116000,89320,2026-01-20,2026-01-19,0,ERP closed-job ledger
J0009,A009,S03,2026-01-28,27000,18090,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0010,A010,S03,2026-01-28,12000,8040,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0011,A011,S01,2026-01-28,113000,85880,2026-01-20,2026-01-20,350,ERP closed-job ledger
J0012,A012,S03,2026-01-28,69000,48300,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0013,A013,S02,2026-01-28,71000,49700,2026-01-20,2026-01-19,0,ERP closed-job ledger
J0014,A014,S01,2026-01-28,117000,86580,2026-01-20,2026-01-20,350,ERP closed-job ledger
J0015,A015,S03,2026-01-28,68000,46240,2026-01-20,2026-01-20,350,ERP closed-job ledger
J0016,A016,S01,2026-01-28,111000,83250,2026-01-20,2026-01-22,0,ERP closed-job ledger
J0017,A017,S02,2026-01-28,41000,29520,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0018,A018,S03,2026-01-28,70000,45500,2026-01-20,2026-01-20,350,ERP closed-job ledger
J0019,A019,S01,2026-01-28,74000,55500,2026-01-20,2026-01-20,350,ERP closed-job ledger
J0020,A020,S02,2026-01-28,65000,42250,2026-01-20,2026-01-22,0,ERP closed-job ledger
J0021,A021,S03,2026-01-28,30000,21300,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0022,A022,S02,2026-01-28,69000,46230,2026-01-20,2026-01-22,0,ERP closed-job ledger
J0023,A023,S01,2026-01-28,93000,67890,2026-01-20,2026-01-20,0,ERP closed-job ledger
J0024,A024,S03,2026-01-28,74000,51060,2026-01-20,2026-01-19,0,ERP closed-job ledger
J0025,A001,S03,2026-02-28,12000,8520,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0026,A002,S01,2026-02-28,75000,54750,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0027,A003,S02,2026-02-28,65000,43550,2026-02-20,2026-02-20,0,ERP closed-job ledger
J0028,A004,S03,2026-02-28,14000,9660,2026-02-20,2026-02-20,0,ERP closed-job ledger
